University,Type ,Index_faculty_number component,Index_salary component,Final_index,Year,Rank,Rank for gender,Rank for salary
Carleton College,private,0.838450781,0.987954182,89.82521413,2016,2,5,3
College of the Holy Cross,private,0.727422556,0.987374171,83.14032023,2016,20,24,4
The College of Wooster,private,0.681615594,0.98662207,80.36181843,2016,31,37,5
Barnard College,private,0.722666985,0.982149207,82.64598738,2016,21,26,6
St Olaf College,private,0.761675008,0.981985355,84.97991466,2016,16,19,7
Worcester Polytechnic Institute,private,0.346303335,0.981975415,60.05721672,2016,89,93,8
Grinnell College,private,0.807616104,0.981031962,87.69824475,2016,6,8,9
Pitzer College,private,0.648586707,0.978421352,78.05205653,2016,40,45,10
Bentley University,private,0.721921774,0.977166576,82.40196949,2016,24,27,11
Wesleyan University,private,0.577991579,0.973322365,73.61238935,2016,57,66,12
Lawrence University,private,0.590579564,0.973016752,74.35544393,2016,52,61,13
Skidmore College,private,0.770482704,0.972799446,85.14094009,2016,14,16,14
Macalester College,private,0.787439519,0.972247582,86.13627445,2016,11,12,15
Bowdoin College,private,0.851727857,0.97182729,89.97676301,2016,1,2,16
Franklin and Marshall College,private,0.81097484,0.971012348,87.49898435,2016,7,7,17
Hamilton College,private,0.727028481,0.969726643,82.41077457,2016,23,25,18
Middlebury College,private,0.682608154,0.969394034,79.73225059,2016,33,36,19
Rose-Hulman Institute of Technology,private,0.252333732,0.968705822,53.88825678,2016,97,99,20
Massachusetts Institute of Technology,private,0.285268923,0.967614578,55.8207185,2016,95,97,21
Bryn Mawr College,private,0.805685027,0.966675211,87.00811007,2016,9,9,22
George Washington University,private,0.716817465,0.966063539,81.65158946,2016,27,29,23
Wellesley College,private,0.849891776,0.965332104,89.60679069,2016,4,3,24
Reed College,private,0.629560501,0.963880153,76.32883621,2016,46,51,25
Haverford College,private,0.853974352,0.963720327,89.78727419,2016,3,1,26
Gettysburg College,private,0.76508696,0.960704795,84.33340937,2016,17,18,27
Northeastern University,private,0.526247586,0.960271155,69.98570137,2016,71,71,28
Bucknell University,private,0.735781036,0.960027518,82.54796288,2016,22,22,29
Denison University,private,0.729451567,0.959936338,82.16454753,2016,26,23,30
Kenyon College,private,0.719567295,0.959667131,81.56072291,2016,28,28,31
Rensselaer Polytechnic Institute,private,0.326661947,0.959055256,57.96192707,2016,94,94,32
Illinois Wesleyan University,private,0.589931424,0.9581754,73.72290143,2016,56,62,33
Mount Holyoke College,private,0.631974624,0.957496602,76.21834153,2016,47,50,34
Amherst College,private,0.816413434,0.955200224,87.19281502,2016,8,6,35
Colgate University,private,0.674766473,0.954903255,78.68211861,2016,39,38,36
Stanford University,private,0.376532278,0.954868258,60.78666702,2016,86,90,37
Bates College,private,0.708626621,0.953487468,80.65709596,2016,30,31,38
University of Miami,private,0.464072222,0.953040111,65.96593777,2016,77,80,39
Loyola Marymount University,private,0.69055473,0.952156173,79.51953073,2016,35,34,40
Cornell University,private,0.452184841,0.951958583,65.20943382,2016,79,81,41
